"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Type: All Types - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | All Makes | Chevrolet | Ford | Honda | Jaguar | Mercedes-Benz | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD3949452"
"ColumnCount:",8
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Jaguar, All Models, All Vehicle Years, #","All Types, Mercedes-Benz, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #"
"02/1998",7700,1372,1530,316,2,28,458
"03/1998",8508,1504,1666,324,4,30,406
"04/1998",8524,1532,1646,398,16,28,450
"05/1998",9540,1696,1810,450,10,30,522
"06/1998",9544,1640,1892,446,2,32,454
"07/1998",10430,1782,2016,540,,36,518
"08/1998",10946,1950,2110,512,2,38,606
"09/1998",9826,1766,1876,540,4,28,448
"10/1998",10144,1794,1944,458,10,46,472
"11/1998",9662,1720,1812,434,,40,566
"12/1998",10510,2012,2138,362,6,34,498
"01/1999",7834,1450,1516,336,2,20,412
"02/1999",7424,1282,1474,308,2,32,426
"03/1999",8686,1678,1630,358,6,10,516
"04/1999",8588,1464,1644,394,10,18,456
"05/1999",9988,1732,1892,492,10,22,482
"06/1999",9636,1698,1832,446,6,34,442
"07/1999",10288,1710,2010,498,6,18,480
"08/1999",10722,1828,2136,556,10,22,496
"09/1999",10050,1696,1934,482,2,22,536
"10/1999",10564,1912,2150,502,8,28,544
"11/1999",9876,1810,1918,452,12,32,522
"12/1999",9984,1782,2076,452,4,28,520
"01/2000",4402,791,866,170,3,19,231
"02/2000",3904,688,808,185,1,11,202
"03/2000",4369,748,832,196,2,14,212
"04/2000",4639,802,935,261,1,20,233
"05/2000",4863,795,894,258,2,23,239
"06/2000",5027,804,911,285,3,19,250
"07/2000",5344,911,1008,288,3,11,277
"08/2000",5289,853,1016,285,6,21,272
"09/2000",5137,850,956,241,5,16,273
"10/2000",5178,854,977,266,5,9,258
"11/2000",4625,799,865,214,3,16,272
"12/2000",4817,804,966,219,3,21,274
"01/2001",4117,707,795,186,4,14,198
"02/2001",3956,676,745,186,4,14,230
"03/2001",4311,762,813,187,3,13,216
"04/2001",4526,776,832,225,2,18,250
"05/2001",5028,801,924,284,3,14,276
"06/2001",4873,850,896,294,,22,256
"07/2001",5229,878,997,327,5,19,264
"08/2001",5373,888,996,297,5,13,282
"09/2001",4930,782,940,274,1,20,250
"10/2001",5304,857,974,287,2,22,258
"11/2001",5104,905,972,261,2,20,273
"12/2001",5167,930,1007,273,4,22,304
"01/2002",4567,789,880,231,8,15,242
"02/2002",4034,719,766,194,3,14,242
"03/2002",4727,790,919,255,1,15,251
"04/2002",4455,743,844,240,3,15,222
"05/2002",5008,795,923,296,5,17,268
"06/2002",5155,799,949,312,3,19,264
"07/2002",5262,871,986,321,5,26,275
"08/2002",5314,863,954,353,1,18,288
"09/2002",5109,845,949,291,5,17,265
"10/2002",5154,865,955,237,5,15,270
"11/2002",4796,822,887,243,1,21,310
"12/2002",4845,826,918,217,6,21,293
"01/2003",4167,698,815,188,7,16,249
"02/2003",3809,626,748,201,1,15,220
"03/2003",4370,732,823,230,8,14,250
"04/2003",4812,809,920,316,2,16,228
"05/2003",4924,801,903,269,4,21,259
"06/2003",5126,823,905,300,3,16,274
"07/2003",5373,842,943,321,5,20,290
"08/2003",5574,909,1009,364,4,24,280
"09/2003",5070,755,925,302,2,25,291
"10/2003",5482,891,1062,309,7,27,280
"11/2003",5279,830,983,305,12,18,297
"12/2003",4891,809,957,219,6,19,311
"01/2004",4505,722,841,229,7,20,260
"02/2004",4055,644,781,218,1,26,221
"03/2004",4449,752,812,249,1,20,254
"04/2004",4683,710,866,274,4,19,238
"05/2004",5152,819,894,312,4,23,273
"06/2004",5145,793,957,323,3,23,273
"07/2004",5294,819,887,373,2,17,266
"08/2004",5419,787,974,376,7,23,293
"09/2004",4910,784,836,304,9,15,268
"10/2004",5231,826,921,327,6,26,323
"11/2004",4849,799,903,261,7,15,289
"12/2004",5037,827,943,274,4,19,287
"01/2005",4298,711,784,231,7,22,244
"02/2005",4011,651,757,223,3,16,212
"03/2005",4411,680,769,249,1,13,249
"04/2005",4914,758,824,312,6,20,253
"05/2005",5019,752,911,332,4,16,275
"06/2005",5186,819,871,340,4,24,323
"07/2005",5683,885,959,363,6,25,303
"08/2005",5282,789,911,350,5,22,285
"09/2005",5081,706,914,344,6,15,270
"10/2005",5504,888,995,329,4,24,296
"11/2005",5212,839,935,313,10,24,296
"12/2005",4894,787,950,258,3,14,296
"01/2006",4411,703,788,238,7,23,265
